Recipe Name, 칼로리, 단백질, 지방, 탄수화물, 나트륨
소고기볼게살타르, 418, 24.8, 21.3, 31.8, 245.8
수삼떡갈비, 388.6, 38.7, 19.1, 15.5, 162.1
삼색딤섬, 350.4, 20.2, 7.9, 49.5, 235.1
밥크로켓, 731.8, 15.6, 35.2, 88.1, 290.7
가지토마토구이, 164.8, 5.4, 12.7, 7.1, 171.2
함박스테이크, 303.3, 28.3, 17.8, 7.5, 243.5
냉파스타, 289.1, 9, 2.4, 57.8, 81.9
과일겉절이, 227.6, 3.4, 2.1, 48.8, 124.8
버섯탕수, 450.1, 6.6, 27.6, 43.9, 267.3
아보카도 연어샐러드, 239, 16.5, 14.9, 9.8, 102.1
오렌지마리네이드 돼지고기, 301.4, 33.5, 14.4, 9.5, 276.5
인삼갈비탕, 361.2, 36.9, 12.4, 25.5, 161.2
체리젤리를 곁들인 고구마무스, 94.8, 1.8, 1.2, 19.1, 60.7
카레닭 룰라이드, 317.1, 24.6, 16.2, 18.2, 978.4
세 가지곡물콩라미수, 215.4, 6.7, 3.2, 39.9, 108.8
크림치즈 망고무스, 333.2, 7.3, 9.1, 55.6, 69.7
토마토주스를곁들인컵토마토, 53.7, 1, 0.1, 12.2, 226.9
해산물 훈제연어롤, 271.8, 33, 11.8, 8.3, 566.2
인절미 무스와 수정과 아이스크림, 126.1, 0.9, 0, 30.5, 44.1
감닭떡갈비, 348.3, 17.2, 6.3, 55.7, 128.8
겨자아욱쌈밥, 359.5, 13.6, 5, 64.9, 264.4
다마고도후, 107.6, 9, 7.6, 0.8, 178.3
단호박생채, 167, 3.4, 1, 36.2, 953.1
닭가슴살 스테이크, 242.4, 22, 15.2, 4.4, 549.7
마늘드레싱을 곁들인 키위샐러드, 350, 13, 17, 36, 59
깻잎향을 입힌 관자 샐러드, 155, 28, 2, 6, 168
건강그린 샐러드와 고소한 두유드레싱, 150, 3, 8, 16, 201
케일 오미자 샐러드, 60, 2, 0, 13, 80
꼬막 달래 된장 무침, 70.1, 5.1, 2.4, 6.9, 204
베이컨 가지 말이, 141.5, 4.7, 10.3, 7.5, 150.1
청국장소스 연어 스테이크, 209.3, 17.6, 13.7, 3.9, 56.6
두부곤약조림, 183.4, 3.15, 3.13, 4.61, 97.2
아귀나가사키조림, 167.9, 9, 0.4, 2.77, 460.3
카레가자미조림, 168, 8.45, 4.58, 4.71, 251.5
타콤소스닭조림, 302.9, 13.5, 2.71, 3.66, 82.9
토마토콩조림, 452.5, 12.9, 4.68, 16.1, 26.8
관자해장국, 440.3, 2.96, 1.15, 5.57, 197.4
견과류들깨해장탕, 363.2, 4.1, 5.64, 5.63, 90.5
뿌리채소들깨수제비, 276.1, 3.3, 4.6, 9.2, 680.5
대구지리탕, 267.7, 7.19, 1.15, 3.87, 277.3
양지해장국, 103.8, 2.89, 1.32, 2.47, 79.7
토마토돼지고기해장국, 171.1, 2.52, 0.79, 4.58, 72.8
효종갱, 186.1, 4.95, 1.69, 0.99, 220.6
해물토마토김치찌개, 88.2, 1, 0.5, 2, 566.5
버섯 두유 소스 볶음, 285, 9, 20, 17, 53
백일송이버섯 볶음, 80, 3, 3, 10, 11
땅콩소스 버섯가지나물, 64.2, 4.3, 3.7, 3.4, 64.3
유자향의 곤약 냉채, 70, 0, 1, 15, 15
새우단배추된장국, 129.2, 4.83, 0.88, 2.58, 774.8
검은콩보리된장찌개, 84.1, 1.4, 0.5, 2.2, 432.7
단호박배추된장국, 28.7, 2, 0.3, 4.5, 77.1
된장냉국, 30.4, 0.73, 0.6, 1.12, 69.4
들깨된장육개장, 123.4, 2.41, 0.26, 2.37, 525.7
삼색묵냉국, 120.6, 0.87, 0.01, 5.77, 659
샤브된장국, 218.9, 3.13, 5.03, 2.34, 299.9
완자된장국, 174.4, 3.64, 2.25, 6.28, 229.1
산나물된장찌개, 156.2, 2.83, 1.13, 3.86, 456.5
토마토요구르트된장국, 131.8, 2.29, 1.06, 3.12, 568.6
굴림만두된장국, 134.5, 5.38, 1.45, 5.2, 276.1
해물순두부된장찌개, 163.6, 4.87, 1.39, 4.63, 677.9
곤약함박스테이크, 381, 6.85, 4.66, 14.73, 260.1
청국장 두부 검은깨 냉스프, 270, 16, 12, 24, 771
호박 고구마 스프, 165, 4, 5, 26, 77
시금치 리조또, 121.3, 2.9, 3.5, 19.6, 197.1
북어비빔밥, 157.4, 7.2, 7.8, 14.7, 46.9
무 현미밥, 180.1, 3.1, 5.1, 30.1, 45.6
컵밥, 218.2, 7.1, 11.4, 21.8, 117.8
두릅 샐러드, 123.9, 8.2, 9.1, 2.2, 58.7
구운 바나나, 158, 2.8, 4, 27.7, 5.2
과일무스 테린, 67.5, 7.1, 0, 9.7, 12.4
가지볶음밥, 644.9, 3.33, 1.14, 20.15, 505.1
닭고기볶음밥, 622.5, 4.73, 3.92, 30.8, 121
토마토라면, 190.4, 1.1, 1, 4.9, 423.2
토마토샐러드라면, 360.6, 6.55, 3.59, 17.23, 241.7
검은깨라면크로켓, 396.9, 9.11, 11.17, 22.8, 158
김말이두부스테이크, 279.4, 18.2, 12.7, 23, 22.8
연어롤샐러드, 208.5, 19.5, 14, 1.1, 51
비타민이유식, 115.9, 2.8, 1.9, 21.9, 64.1
한입꼬치구이, 289.9, 12.1, 22.9, 9, 33.7
간장곤약볶음국수, 133, 1.2, 6.1, 18.3, 343.1
닭가슴살리조또, 388.5, 17.1, 14.8, 46.7, 73.1
녹차귀리라떼, 150.8, 5.3, 9.8, 10.4, 62.4
계란숙샐러드, 96.2, 53.9, 5.2, 6.5, 112.5
한식풍닭가슴살스테이크, 191.5, 24.4, 6, 10, 294
강황고구마밥, 251.1, 4.3, 1.9, 54.1, 164.7
된장시금치옹심이, 167.3, 14.9, 0.8, 25.1, 771
불고기 소스를 곁들인 두부구이, 200, 12, 14, 7, 481
매생이순두부탕, 10.4, 1.1, 0.2, 1.1, 131.8
겨자 오이고추소박이, 36.9, 1.2, 0.1, 7.9, 43.4
실치오이 초절임, 36.9, 3, 0, 6.1, 59.1
비트무절임, 38.4, 1, 0, 8.5, 13.3
감귤 김치, 21.2, 0.6, 0, 4.6, 64.9
두부달걀덮밥, 669.4, 3.91, 6.2, 19.35, 311.6
봄나물밥, 254.3, 6.6, 1.2, 54.4, 138.3
가지연어구이, 318.2, 15.8, 6.19, 9.85, 83.4
갈릭칩동태구이, 141.8, 20.4, 3.82, 6.74, 232.3
고구마두부스테이크, 741.4, 7.8, 11, 20.8, 216.6
닭가슴살카나페, 281.4, 14.8, 1.96, 16.6, 202.1
삼색꼬치구이, 255.4, 11.9, 6.14, 9.12, 57
꽁치채소말이, 523, 13.7, 12.6, 10.3, 93.7
차돌박이구이, 210.2, 8.88, 8.33, 9.64, 32
간장아귀찜, 100.5, 15.1, 0.76, 1.15, 119.3
견과류통삼겹살찜, 745.4, 14.9, 29, 6, 282.4
닭가슴살말이, 233.1, 2.22, 3.59, 3.98, 113.6
